Provinsi,Latitude,Longitude,Harga.Beras.Med
ACEH,4.6951,96.7494,9900
MEDAN,3.5952,98.6722,10800
PADANG,0.9471,100.4172,13900
PEKANBARU,0.5071,101.4478,13500
JAMBI,-1.6101,103.6131,11450
PALEMBANG,-2.9761,104.7754,11000
BENGKULU,-3.5778,102.3464,11350
BANDAR LAMPUNG,-5.3971,105.2668,11500
PANGKAL PINANG,-2.1316,106.1169,11600
TANJUNG PINANG,-0.9186,104.4665,13650
JAKARTA,-6.1745,106.8227,12650
BANDUNG,-6.9175,107.6191,20650
SEMARANG,-7.0051,110.4381,11500
YOGYAKARTA,-7.7956,110.3695,10750
SURABAYA,-7.2575,112.7521,11650
SERANG,-6.1104,106.164,9650
DENPASAR,-8.6705,115.2126,11500
MATARAM,-8.577,116.1005,8000
KUPANG,-10.1772,123.607,11250
PONTIANAK,-0.0263,109.3425,12950
PALANGKARAYA,-2.2161,113.914,14500
BANJARMASIN,-3.3186,114.5944,14700
SAMARINDA,-0.4948,117.1436,12400
MANADO,1.4748,124.8421,11110
PALU,-0.9003,119.878,10250
MAKASSAR,-5.1477,119.4327,9050
KENDARI,-3.9985,122.513,10500
GORONTALO,0.6999,122.4467,
MAMUJU,-2.492,119.325,
AMBON,-3.6554,128.1908,13000
TERNATE,0.771,127.3695,12400
MANOKWARI,-0.8615,134.062,10500
JAYAPURA,-2.5916,140.669,13500